제품명,기능성,processed_text
루테인킹,"[마리골드꽃추출물] 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
[비타민 A] 어두운 곳에서 시각 적응을 위해 필요/피부와 점막을 형성하고 기능을 유지하는데 필요/상피세포의 성장과 발달에 필요
[비타민B2] 체내 에너지 생성에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12] 정상적인 엽산 대사에 필요
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[베타카로틴] 어두운 곳에서 시각 적응을 위해 필요/피부와 점막을 형성하고 기능을 유지하는데 필요/상피세포의 성장과 발달에 필요
[나이아신] 체내 에너지 생성에 필요
[아연] 정상적인 면역기능에 필요/정상적인 세포분열에 필요
[망간] 뼈 형성에 필요/에너지 이용에 필요/유해산소로부터 세포를 보호하는데 필요
[구리] 철의 운반과 이용에 필요/유해산소로부터 세포를 보호하는데 필요
[엽산] 세포와 혈액생성에 필요/태아 신경관의 정상 발달에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",마리 골드 꽃 물 노화 감소 수 황반 색소 밀도 눈 줄 수 비타민 곳 피부 점막 상피세포 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 항산화 산소 베타카로틴 곳 피부 점막 상피세포 나이아신 에너지 생 아연 면역 망간 뼈 에너지 산소 구리 철 운반 산소 엽산 혈액 생 태아 경관 혈액 시스테인
루테인플러스,"[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민E]①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[구리]①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[망간]①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
",루테 노화 감소 수 황반 색소 밀도 눈 비타민 곳 피부 점막 상피세포 비타민 항산화 산소 비타민 에너지 생 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 아연 면역 구리 철 운반 산소 셀레늄 셀렌 산소 망간 뼈 에너지 산소
루테콤 눈에좋은 루테인지아잔틴,"(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음 
(영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
①유해산소로부터 세포를 보호하는데 필요
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
①체내 에너지 생성에 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①정상적인 엽산 대사에 필요",노화 감소 수 황반 색소 밀도 눈 줄 수 산소 항산화 산소 에너지 생 면역 지방 단백질 에너지 생 곳 피부 점막 상피세포 단백질 아미노산 혈액 시스테인 에너지 에너지 생 칼슘 인 뼈 골다공증 감소 혈액 생 태아 경관 혈액 시스테인 엽산
루티니 에센셜(routiny essentials),"[EPA 및 DHA 함유 유지]
혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민B1]
①탄수화물과 에너지 대사에 필요
[비타민B2]
①체내 에너지 생성에 필요
[나이아신]
①체내 에너지 생성에 필요
[판토텐산]
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴]
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]
①정상적인 엽산 대사에 필요
[비타민C]
①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민A]
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민E]
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민K]
①정상적인 혈액응고에 필요②뼈의 구성에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[요오드]
①갑상선 호르몬의 합성에 필요②에너지 생성에 필요③신경발달에 필요
[망간]
①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[크롬]
①체내 탄수화물, 지방, 단백질 대사에 관여
[몰리브덴]
①산화·환원 효소의 활성에 필요
[셀렌]
①유해산소로부터 세포를 보호하는데 필요
[프로바이오틱스]
유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음
[마그네슘]
①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[칼슘]
①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
[아연]
①정상적인 면역기능에 필요②정상적인 세포분열에 필요",중성 지질 혈행 눈 눈 줄 수 비타민 에너지 비타민 에너지 생 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 비타민 철 항산화 산소 비타민 곳 피부 점막 상피세포 비타민 항산화 산소 비타민 혈액 뼈 구성 비타민 칼슘 인 뼈 골다공증 감소 요오드 갑상선 호르몬 에너지 생 망간 뼈 에너지 산소 크롬 지방 단백질 관여 몰리브덴 산화 환원 효소 활 셀렌 산소 프로바이오틱스 유산균 균 배변 장 줄 수 마그네슘 에너지 신경 근육 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 아연 면역
루틴 올인원 앤 아이언,"[EPA 및 DHA 함유 유지] 혈중 중성지질 개선･혈행 개선에 도움을 줄 수 있음
[비타민 C]	결합조직 형성과 기능유지에 필요
	철의 흡수에 필요
	항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[밀크씨슬 추출물] 간 건강에 도움을 줄 수 있음
[비타민 E]	항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철]	체내 산소운반과 혈액생성에 필요
	에너지 생성에 필요
[비타민 B6]	단백질 및 아미노산 이용에 필요
	혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민 B1]	탄수화물과 에너지 대사에 필요
[비타민 B12] 정상적인 엽산 대사에 필요
[비타민 B2]	체내 에너지 생성에 필요
[나이아신]	체내 에너지 생성에 필요
[몰리브덴]	산화･환원 효소의 활성에 필요
[아연]	정상적인 면역기능에 필요
	정상적인 세포분열에 필요
[망간]	뼈 형성에 필요
	에너지 이용에 필요
	유해산소로부터 세포를 보호하는데 필요
[비타민 D]	칼슘과 인이 흡수되고 이용되는데 필요
	뼈의 형성과 유지에 필요
	골다공증발생 위험 감소에 도움을 줌
[비타민 A]	어두운 곳에서 시각 적응을 위해 필요
	피부와 점막을 형성하고 기능을 유지하는데 필요
	상피세포의 성장과 발달에 필요
[판토텐산]	지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[구리]	철의 운반과 이용에 필요
	유해산소로부터 세포를 보호하는데 필요
[비타민 K]	정상적인 혈액응고에 필요
	뼈의 구성에 필요
[엽산]	세포와 혈액생성에 필요
	태아 신경관의 정상 발달에 필요
	혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴]	지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[요오드]	갑상선 호르몬의 합성에 필요
	에너지 생성에 필요
	신경발달에 필요",중성 지질 혈행 줄 수 비타민 철 항산화 산소 밀크 슬 물 간 줄 수 비타민 항산화 산소 철 산소 운반 혈액 생 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 엽산 비타민 에너지 생 나이아신 에너지 생 몰리브덴 산화 환원 효소 활 아연 면역 망간 뼈 에너지 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 곳 피부 점막 상피세포 판토텐산 지방 단백질 에너지 생 구리 철 운반 산소 비타민 혈액 뼈 구성 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 요오드 갑상선 호르몬 에너지 생
루피움 밸런스 뉴트리션 멀티팩,"- 마리골드꽃추출물 : 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
- 밀크씨슬 추출물 : 간 건강에 도움을 줄 수 있음
- 홍경천 추출물 : 스트레스로 인한 피로 개선에 도움을 줄 수 있음
- EPA 및 DHA 함유 유지 : 혈중 중성지질 개선･혈행 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
- 비타민 A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요,  상피세포의 성장과 발달에 필요
- 비타민 B1 : 탄수화물과 에너지 대사에 필요
- 비타민 B2 : 체내 에너지 생성에 필요
- 비타민 B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 비타민 B12 : 정상적인 엽산 대사에 필요
- 비타민 C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 비타민 E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
- 비타민 K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요
- 나이아신 : 체내 에너지 생성에 필요
- 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
- 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
- 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요
- 아연 :  정상적인 면역기능에 필요, 정상적인 세포분열에 필요
- 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요
- 셀렌 : 유해산소로부터 세포를 보호하는데 필요
- 요오드 : 갑상선 호르몬 합성에 필요, 에너지 생성에 필요, 신경발달에 필요
- 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요
- 크롬 : 체내 탄수화물, 지방, 단백질 대사에 관여",마리 골드 꽃 물 노화 감소 수 황반 색소 밀도 눈 줄 수 밀크 슬 물 간 줄 수 홍 경천 물 스트레스 피로 줄 수 중성 지질 혈행 눈 눈 줄 수 비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 비타민 혈액 뼈 구성 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 철 산소 운반 혈액 생 에너지 생 아연 면역 구리 철 운반 산소 셀렌 산소 요오드 갑상선 호르몬 에너지 생 망간 뼈 에너지 산소 크롬 지방 단백질 관여
루피움 에버 리셋 컷,"- 돌외잎주정추출분말(제2013-8호) : 체지방 감소에 도움을 줄 수 있음
- 은행잎 추출물 : 기억력 개선･혈행 개선에 도움을 줄 수 있음
- 홍국 : 혈중 콜레스테롤 개선에 도움을 줄 수 있음
- 비타민 B1 : 탄수화물과 에너지 대사에 필요
- 비타민 B2 : 체내 에너지 생성에 필요
- 비타민 B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 비타민 C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 나이아신 : 체내 에너지 생성에 필요
- 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
- 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 셀렌 : 유해산소로부터 세포를 보호하는데 필요",돌외잎 주정 분말 호 체지방 감소 줄 수 은행 잎 물 기억 혈행 줄 수 홍국 콜레스테롤 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 셀렌 산소
르판시 비오틴 츄어블,"[판토텐산]ㆍ지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[크롬]ㆍ체내 탄수화물, 지방, 단백질 대사에 관여
[비타민 B6]ㆍ단백질 및 아미노산 이용에 필요ㆍ혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[셀레늄(또는 셀렌)]ㆍ유해산소로부터 세포를 보호하는데 필요
[비타민 B1]ㆍ탄수화물과 에너지 대사에 필요
[비오틴]ㆍ지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]ㆍ세포와 혈액생성에 필요ㆍ태아 신경관의 정상 발달에 필요ㆍ혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",판토텐산 지방 단백질 에너지 생 크롬 지방 단백질 관여 비타민 단백질 아미노산 혈액 시스테인 셀레늄 셀렌 산소 비타민 에너지 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인
르포르에에프,"[비타민B1]①탄수화물과 에너지 대사에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
",비타민 에너지 판토텐산 지방 단백질 에너지 생 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생
리뉴 에너지 그린 파워 ,"[나이아신] ①체내 에너지 생성에 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",나이아신 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 산소 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인
리뉴 에너지 레드,"[나이아신] ①체내 에너지 생성에 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",나이아신 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 산소 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 판토텐산 지방 단백질 에너지 생
리뉴 점프 하이 칼슘,"1) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌.
2) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌.
3) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.",비타민 칼슘 인 뼈 골다공증 감소 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 아연 면역
리뉴점프업칼슘 ,"[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌",비타민 칼슘 인 뼈 골다공증 감소 아연 면역 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
리데이 루나케어 Re:day Lunar Care,"- 테아닌 : 스트레스로 인한 긴장완화에 도움을 줄 수 있음
- 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요",테아닌 스트레스 긴장 완화 줄 수 마그네슘 에너지 신경 근육
리데일리칼슘,"(칼슘)①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

(비타민D)①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

(마그네슘)①에너지 이용에 필요②신경과 근육 기능 유지에 필요

(폴리감마글루탐산)①체내 칼슘흡수 촉진에 도움을 줄 수 있음

(비타민K)(1) 정상적인 혈액응고에 필요
             (2) 뼈의 구성에 필요",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 비타민 칼슘 인 뼈 골다공증 감소 마그네슘 에너지 신경 근육 폴리 감마 글루탐산 칼슘 촉진 줄 수 비타민 혈액 뼈 구성
리디샷,"①식후 혈당상승 억제·혈중 중성지질 개선·배변활동 원활에 도움을 줄 수 있음

-기억력 개선·혈행 개선에 도움을 줄 수 있음

①혈중 콜레스테롤 개선에 도움을 줄 수 있음

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요",식후 혈당 상승 중성 지질 배변 줄 수 기억 혈행 줄 수 콜레스테롤 줄 수 혈액 생 태아 경관 혈액 시스테인 면역
리맨파워 릴렉스,"[테아닌] 
1) 스트레스로 인한 긴장완화에 도움을 줄 수 있음

[마그네슘] 
1) 에너지 이용에 필요, 신경과 근육 기능 유지에 필요",테아닌 스트레스 긴장 완화 줄 수 마그네슘 에너지 신경 근육
리맨파워에너지,"[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[판토텐산](1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B1](1) 탄수화물과 에너지 대사에 필요

[비타민B2](1) 체내 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민E]항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비오틴](1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민K](1) 정상적인 혈액응고에 필요 (2) 뼈의 구성에 필요

[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요",비타민 철 항산화 산소 판토텐산 지방 단백질 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 항산화 산소 비오틴 지방 단백질 에너지 생 비타민 칼슘 인 뼈 골다공증 감소 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 혈액 뼈 구성 비타민 곳 피부 점막 상피세포
리바이오틱스우먼,"[프로바이오틱스 제품]①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음 
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
 ",프로바이오틱스 유산균 균 줄 수 배변 줄 수 비타민 칼슘 인 뼈 골다공증 감소 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 셀레늄 셀렌 산소 비오틴 지방 단백질 에너지 생
리바이오틱스키즈,"[프로바이오틱스] ① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ② 배변활동 원활에 도움을 줄 수 있음 ③ 장건강에 도움을 줄 수 있음
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[철]①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
 ",프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수 비타민 칼슘 인 뼈 골다공증 감소 엽산 혈액 생 태아 경관 혈액 시스테인 아연 면역 철 산소 운반 혈액 생 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 셀레늄 셀렌 산소 비오틴 지방 단백질 에너지 생
리버부스터 멀티비타민 이뮨 샷,"밀크씨슬(카르두스 마리아누스) 추출물 : 간 건강에 도움을 줄 수 있음
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민B12 : (1) 정상적인 엽산 대사에 필요
나이아신 : (1) 체내 에너지 생성에 필요
판토텐산 : (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B2 : (1) 체내 에너지 생성에 필요
비타민B1 : (1) 탄수화물과 에너지 대사에 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비오틴 : (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",밀크 슬 카르 스 마리 아누 스 물 간 줄 수 아연 면역 비타민 엽산 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 비타민 에너지 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생
리버스 C Rebirth C,"①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①체내 에너지 생성에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

(1) 정상적인 엽산 대사에 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①유해산소로부터 세포를 보호하는데 필요",에너지 신경 근육 철 항산화 산소 항산화 산소 에너지 생 지방 단백질 에너지 생 단백질 아미노산 혈액 시스테인 에너지 에너지 생 곳 피부 점막 상피세포 엽산 혈액 생 태아 경관 혈액 시스테인 지방 단백질 에너지 생 면역 산소
